Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,cap_100nF_16v_0402,C_0402_1005Metric,105.507,-113.227,0,top
C2,cap_100nF_16v_0402,C_0402_1005Metric,113.447,-115.062,270,top
C3,cap_100nF_16v_0402,C_0402_1005Metric,110.856,-122.625,0,top
C4,cap_100nF_16v_0402,C_0402_1005Metric,104.093,-120.808,90,top
C6,cap_4.7uF_10v_0402,C_0402_1005Metric,113.462,-111.951,90,top
C7,cap_100nF_16v_0402,C_0402_1005Metric,112.922,-123.15,180,top
C8,cap_20pF_50v_0402,C_0402_1005Metric,106.983,-122.614,180,top
C9,cap_20pF_50v_0402,C_0402_1005Metric,108.953,-122.625,0,top
C10,cap_1uF_10v_0402,C_0402_1005Metric,109.151,-109.254,180,top
C11,cap_1uF_10v_0402,C_0402_1005Metric,102.868,-111.368,180,top
C12,cap_10uF_10v_0402,C_0402_1005Metric,113.358,-99.597,270,top
C14,cap_4.7uF_10v_0402,C_0402_1005Metric,113.446,-116.937,270,top
D1,PMEG2010AEB,D_SOD-523,108.905,-111.002,270,top
D2,1N4148,D_SOD-523,112,-127.145,180,top
D3,SMD-LED-WHITE_0402_,LED_0402,102.155,-124.731,90,top
D4,SMF5.0A,D_SOD-123FL,107.141,-107.561,180,top
D5,PMEG2010AEB,D_SOD-523,110.33,-112.23,90,top
F1,SMD-PPTC-500MA_0805_,F0805,110.313,-105.413,90,top
FB1,fb_0402_26ohm,R_0402_1005Metric,101.821,-99.65,270,top
J3,MC-311D,MC-311D,105.86,-99.22,0,top
K1,SMD-SWITCH-TACTILE-SPST-NO_2P-2.0MMx3.5MM_,SW2-SMD-2.0X3.5X0.45MM,107.62,-127.78,90,top
Q1,MUN5311DW1T1G,SOT-363_SC-70-6_SC-88,112.352,-125.04,0,top
Q2,MUN5311DW1T1G,SOT-363_SC-70-6_SC-88,102.902,-116.317,0,top
R1,r_100k_0402_1p,R_0402_1005Metric,101.766,-118.771,270,top
R2,r_5.1k_0402_1p,R_0402_1005Metric,113.352,-101.575,270,top
R3,r_5.1k_0402_1p,R_0402_1005Metric,101.821,-101.564,90,top
R4,r_75_0402_1p,R_0402_1005Metric,103.111,-124.731,270,top
R5,r_4.7k_0402_1p,R_0402_1005Metric,111.989,-111.45,180,top
R6,r_10k_0402_1p,R_0402_1005Metric,111.992,-112.408,0,top
R7,r_75_0402_1p,R_0402_1005Metric,111.932,-128.315,0,top
R8,r_100k_0402_1p,R_0402_1005Metric,108.673,-112.75,0,top
R9,r_470_0402_1p,R_0402_1005Metric,113.454,-121.208,90,top
U1,AAP2967-33VIR1,SOT-23-5,112.032,-109.155,180,top
U2,SRV05-4,SOT-23-6,103.114,-108.312,270,top
U3,STM32F411CEU6,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm_ThermalVias,108.722,-117.89,90,top
U4,SN74LV1T34DCKR,SOT-353_SC-70-5,106.569,-110.174,180,top
U5,SN74LV1T34DCKR,SOT-353_SC-70-5,102.909,-113.275,180,top
Y1,SMD-CRYSTAL-8MHZ-20PF-10PPM_2P-5.0X3.2MM_,X2-SMD-5.0X3.2X1.3MM,107.509,-124.88,0,top